,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
16664,-15.100999999999999,145.085,341.3,1.2,1.1,2019-10-27,350,Aqua,MODIS,89,6.0NRT,298.5,55.6,D
16665,-35.625,149.995,340.5,1.4,1.2,2019-12-30,1310,Terra,MODIS,100,6.0NRT,305.6,58.6,N
16666,-35.797,150.05100000000002,390.8,1.1,1.0,2019-12-31,10,Terra,MODIS,100,6.0NRT,306.4,0.0,D
16667,-16.907,124.384,359.1,1.0,1.0,2019-11-21,520,Aqua,MODIS,99,6.0NRT,321.2,56.1,D
16668,-27.263,128.746,341.4,3.0,1.6,2019-11-05,100,Terra,MODIS,86,6.0NRT,313.9,134.3,D
16669,-15.092,131.612,355.7,1.3,1.2,2019-11-23,510,Aqua,MODIS,96,6.0NRT,306.6,73.9,D
16670,-17.477999999999998,122.241,354.0,1.1,1.0,2019-11-26,540,Aqua,MODIS,95,6.0NRT,307.1,54.2,D
16671,-30.5,150.941,313.8,1.4,1.2,2019-12-15,1530,Aqua,MODIS,75,6.0NRT,290.0,20.3,N
16672,-15.322000000000001,143.83100000000002,339.6,1.1,1.0,2019-11-16,35,Terra,MODIS,84,6.0NRT,310.4,27.6,D
16673,-15.571,142.623,308.2,1.0,1.0,2019-12-02,1555,Aqua,MODIS,64,6.0NRT,292.9,5.5,N
16674,-16.708,137.92700000000002,347.1,1.5,1.2,2019-12-26,415,Aqua,MODIS,89,6.0NRT,302.1,71.9,D
16675,-21.263,116.16799999999999,341.9,1.6,1.2,2019-11-25,210,Terra,MODIS,83,6.0NRT,322.3,33.3,D
16676,-16.523,137.743,312.5,1.5,1.2,2019-12-18,1555,Aqua,MODIS,82,6.0NRT,295.5,15.7,N
16677,-15.969000000000001,125.441,345.3,1.0,1.0,2019-11-04,150,Terra,MODIS,87,6.0NRT,314.1,33.7,D
16678,-36.227,149.53,347.4,1.0,1.0,2020-01-04,400,Aqua,MODIS,93,6.0NRT,314.2,41.1,D
16679,-31.164,152.49200000000002,321.7,1.1,1.1,2019-10-29,335,Aqua,MODIS,55,6.0NRT,292.9,18.9,D
16680,-16.82,137.657,340.3,1.6,1.2,2019-12-26,415,Aqua,MODIS,63,6.0NRT,310.8,35.5,D
16681,-37.061,147.042,325.5,1.6,1.2,2020-01-04,1325,Terra,MODIS,64,6.0NRT,281.7,40.9,N
16682,-37.08,146.981,308.8,3.0,1.6,2020-01-03,1600,Aqua,MODIS,71,6.0NRT,291.5,40.8,N
16683,-34.875,150.3,364.1,1.1,1.0,2019-12-31,10,Terra,MODIS,100,6.0NRT,313.2,87.5,D
16684,-13.388,135.612,341.9,1.0,1.0,2019-12-06,440,Aqua,MODIS,30,6.0NRT,326.5,16.9,D
16685,-32.739000000000004,151.903,334.5,1.9,1.4,2019-11-29,1215,Terra,MODIS,100,6.0NRT,292.7,91.4,N
16686,-29.921999999999997,152.545,344.9,1.1,1.0,2019-11-07,2350,Terra,MODIS,90,6.0NRT,304.7,45.5,D
16687,-29.185,151.55,360.8,3.6,1.8,2019-11-07,1425,Aqua,MODIS,100,6.0NRT,297.2,547.3,N
16688,-13.86,129.894,333.0,3.2,1.7,2019-10-21,425,Aqua,MODIS,71,6.0NRT,306.9,100.5,D
16689,-29.374000000000002,151.664,335.6,1.1,1.0,2019-11-19,350,Aqua,MODIS,76,6.0NRT,313.8,18.7,D
16690,-28.159000000000002,152.351,337.9,1.1,1.1,2019-10-06,2350,Terra,MODIS,85,6.0NRT,307.3,29.3,D
16691,-29.281999999999996,152.533,323.7,2.2,1.4,2019-11-08,410,Aqua,MODIS,34,6.0NRT,306.9,14.4,D
16692,-15.91,144.671,338.6,1.0,1.0,2019-10-09,400,Aqua,MODIS,63,6.0NRT,312.6,22.7,D
16693,-19.225,146.015,314.0,1.1,1.0,2019-12-16,1300,Terra,MODIS,74,6.0NRT,299.4,8.8,N
16694,-30.938000000000002,123.595,364.4,1.9,1.4,2020-01-01,510,Aqua,MODIS,100,6.0NRT,321.7,187.3,D
16695,-36.052,147.865,377.6,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,302.9,125.6,D
16696,-14.694,128.124,309.7,3.8,1.8,2019-12-07,1615,Aqua,MODIS,73,6.0NRT,297.9,42.5,N
16697,-18.323,145.359,322.2,2.9,1.6,2020-01-06,110,Terra,MODIS,36,6.0NRT,301.6,45.7,D
16698,-28.188000000000002,152.493,320.4,1.0,1.0,2019-10-08,1240,Terra,MODIS,86,6.0NRT,294.4,18.1,N
16699,-28.234,125.294,328.8,3.8,1.8,2019-11-30,230,Terra,MODIS,60,6.0NRT,304.5,105.6,D
16700,-30.836,123.306,351.1,1.2,1.1,2020-01-05,205,Terra,MODIS,94,6.0NRT,311.9,61.0,D
16701,-36.942,146.766,321.1,1.1,1.0,2019-12-31,1530,Aqua,MODIS,100,6.0NRT,286.5,24.2,N
16702,-27.414,150.894,380.8,1.2,1.1,2019-12-16,335,Aqua,MODIS,100,6.0NRT,327.3,170.7,D
16703,-34.254,149.982,331.4,1.4,1.2,2019-12-29,25,Terra,MODIS,69,6.0NRT,299.1,34.1,D
16704,-35.974000000000004,148.299,318.6,1.0,1.0,2020-01-02,1515,Aqua,MODIS,97,6.0NRT,290.9,16.4,N
16705,-29.499000000000002,152.03,365.3,1.1,1.1,2019-12-16,335,Aqua,MODIS,100,6.0NRT,310.6,102.1,D
16706,-15.204,125.833,350.2,1.7,1.3,2019-11-25,500,Aqua,MODIS,94,6.0NRT,306.2,95.8,D
16707,-35.148,150.47799999999998,319.3,1.0,1.0,2020-01-02,0,Terra,MODIS,29,6.0NRT,295.6,9.7,D
16708,-17.812,122.705,343.8,1.2,1.1,2019-10-15,215,Terra,MODIS,68,6.0NRT,320.9,27.8,D
16709,-16.535999999999998,137.784,327.6,1.3,1.1,2019-12-21,1625,Aqua,MODIS,100,6.0NRT,297.9,34.0,N
16710,-17.692999999999998,124.197,335.7,1.2,1.1,2019-12-27,210,Terra,MODIS,53,6.0NRT,310.8,13.7,D
16711,-31.158,123.75299999999999,332.4,1.5,1.2,2019-11-05,520,Aqua,MODIS,60,6.0NRT,315.0,23.2,D
16712,-34.786,150.29,459.6,1.3,1.1,2020-01-03,2345,Terra,MODIS,100,6.0NRT,337.1,1258.1,D
16713,-31.275,152.548,325.6,1.1,1.0,2019-11-03,350,Aqua,MODIS,72,6.0NRT,296.9,18.4,D
16714,-37.591,149.16899999999998,322.5,1.0,1.0,2020-01-04,1505,Aqua,MODIS,67,6.0NRT,288.6,18.7,N
16715,-13.408,135.596,314.4,2.8,1.6,2019-12-06,1405,Terra,MODIS,86,6.0NRT,297.5,45.8,N
16716,-33.227,150.906,319.5,2.5,1.5,2019-11-27,2330,Terra,MODIS,46,6.0NRT,297.2,42.7,D
16717,-34.34,118.431,375.7,1.3,1.1,2019-12-29,620,Aqua,MODIS,100,6.0NRT,308.6,184.7,D
16718,-37.387,149.17700000000002,326.3,1.4,1.2,2020-01-03,2345,Terra,MODIS,32,6.0NRT,304.6,21.9,D
16719,-14.960999999999999,127.134,336.0,1.0,1.0,2019-11-04,150,Terra,MODIS,63,6.0NRT,318.3,8.6,D
16720,-35.96,149.945,314.8,1.1,1.0,2020-01-02,1515,Aqua,MODIS,16,6.0NRT,289.7,13.3,N
16721,-15.081,141.92600000000002,341.5,1.1,1.0,2019-10-06,45,Terra,MODIS,86,6.0NRT,311.4,33.2,D
16722,-15.464,145.128,328.1,1.6,1.2,2019-12-17,420,Aqua,MODIS,56,6.0NRT,309.9,25.9,D
16723,-15.79,143.935,335.5,1.1,1.0,2019-11-16,35,Terra,MODIS,40,6.0NRT,310.6,17.2,D
16724,-18.371,126.117,315.7,1.6,1.2,2019-11-27,1715,Aqua,MODIS,47,6.0NRT,296.3,19.5,N
16725,-30.795,122.973,379.4,1.1,1.1,2019-11-19,530,Aqua,MODIS,76,6.0NRT,319.1,152.0,D
16726,-37.501,147.97299999999998,320.4,2.0,1.4,2019-12-23,335,Aqua,MODIS,78,6.0NRT,282.5,48.1,D
16727,-17.994,144.654,346.7,1.7,1.3,2019-12-24,425,Aqua,MODIS,88,6.0NRT,320.1,57.4,D
16728,-33.795,150.28799999999998,323.8,3.0,1.6,2019-12-06,435,Aqua,MODIS,68,6.0NRT,304.0,70.1,D
16729,-12.8,134.57299999999998,373.4,1.0,1.0,2019-12-06,440,Aqua,MODIS,100,6.0NRT,324.7,104.6,D
16730,-36.025999999999996,148.321,503.5,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,400.1,1682.1,D
16731,-35.842,148.64,349.5,1.0,1.0,2020-01-04,400,Aqua,MODIS,92,6.0NRT,300.0,50.0,D
16732,-28.324,125.344,332.4,1.1,1.0,2019-11-26,535,Aqua,MODIS,49,6.0NRT,316.6,8.5,D
16733,-28.826,150.878,338.8,1.7,1.3,2019-12-10,410,Aqua,MODIS,48,6.0NRT,314.4,52.2,D
16734,-36.955,146.816,302.1,3.6,1.8,2020-01-01,1435,Aqua,MODIS,15,6.0NRT,286.8,37.3,N
16735,-36.205,149.49,370.2,1.0,1.0,2020-01-04,400,Aqua,MODIS,100,6.0NRT,316.0,100.9,D
16736,-34.018,149.994,322.6,1.1,1.0,2019-12-01,0,Terra,MODIS,68,6.0NRT,299.2,16.3,D
16737,-31.287,152.418,326.4,1.1,1.0,2019-11-08,1510,Aqua,MODIS,0,6.0NRT,290.7,23.2,N
16738,-32.016,152.286,319.1,1.2,1.1,2019-11-15,1515,Aqua,MODIS,23,6.0NRT,285.3,21.3,N
16739,-29.929000000000002,152.766,336.6,3.2,1.7,2019-11-08,1155,Terra,MODIS,100,6.0NRT,298.7,187.6,N
16740,-15.943,143.02200000000002,333.0,3.1,1.7,2019-12-13,445,Aqua,MODIS,65,6.0NRT,307.3,81.1,D
16741,-35.167,150.357,328.6,2.3,1.5,2019-12-27,35,Terra,MODIS,52,6.0NRT,299.2,59.1,D
16742,-16.487000000000002,142.379,354.0,1.3,1.1,2019-12-08,425,Aqua,MODIS,95,6.0NRT,313.8,67.5,D
16743,-16.855,143.175,348.1,1.4,1.2,2019-10-05,425,Aqua,MODIS,91,6.0NRT,317.6,58.0,D
16744,-27.803,152.295,340.2,1.0,1.0,2019-11-09,1240,Terra,MODIS,100,6.0NRT,290.8,45.0,N
16745,-35.825,136.87,361.9,4.2,1.9,2020-01-09,5,Terra,MODIS,100,6.0NRT,305.5,623.3,D
